tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
722,2018-01-02 07:54:54,72,40.76727216,-73.99392888,228,Subscriber
434,2018-01-02 08:06:14,72,40.76727216,-73.99392888,173,Subscriber
366,2018-01-02 08:10:15,72,40.76727216,-73.99392888,479,Subscriber
324,2018-01-02 08:13:31,72,40.76727216,-73.99392888,450,Subscriber
386,2018-01-03 07:16:49,72,40.76727216,-73.99392888,479,Subscriber
235,2018-01-03 07:32:14,72,40.76727216,-73.99392888,447,Subscriber
394,2018-01-03 07:42:03,72,40.76727216,-73.99392888,514,Subscriber
445,2018-01-03 07:58:11,72,40.76727216,-73.99392888,173,Subscriber
595,2018-01-03 08:07:48,72,40.76727216,-73.99392888,525,Subscriber
482,2018-01-03 08:12:08,72,40.76727216,-73.99392888,173,Subscriber
548,2018-01-03 08:20:31,72,40.76727216,-73.99392888,523,Subscriber
807,2018-01-03 08:45:44,72,40.76727216,-73.99392888,3175,Subscriber
524,2018-01-04 08:48:38,72,40.76727216,-73.99392888,3236,Subscriber
585,2018-01-05 07:50:36,72,40.76727216,-73.99392888,173,Subscriber
1685,2018-01-05 08:41:36,72,40.76727216,-73.99392888,347,Subscriber
460,2018-01-08 08:17:50,72,40.76727216,-73.99392888,173,Subscriber
667,2018-01-08 08:26:15,72,40.76727216,-73.99392888,525,Subscriber
640,2018-01-08 08:57:57,72,40.76727216,-73.99392888,458,Subscriber
463,2018-01-09 07:50:04,72,40.76727216,-73.99392888,173,Subscriber
1490,2018-01-09 08:10:00,72,40.76727216,-73.99392888,3301,Subscriber
490,2018-01-09 08:32:26,72,40.76727216,-73.99392888,529,Subscriber
541,2018-01-09 08:38:24,72,40.76727216,-73.99392888,525,Subscriber
395,2018-01-09 08:42:43,72,40.76727216,-73.99392888,500,Subscriber
949,2018-01-09 08:43:41,72,40.76727216,-73.99392888,3224,Subscriber
410,2018-01-10 07:40:19,72,40.76727216,-73.99392888,173,Subscriber
692,2018-01-10 07:55:22,72,40.76727216,-73.99392888,522,Subscriber
1118,2018-01-10 08:24:18,72,40.76727216,-73.99392888,3643,Subscriber
310,2018-01-10 08:25:59,72,40.76727216,-73.99392888,500,Subscriber
1139,2018-01-10 08:31:10,72,40.76727216,-73.99392888,347,Subscriber
969,2018-01-10 08:31:34,72,40.76727216,-73.99392888,3224,Subscriber
358,2018-01-11 07:40:51,72,40.76727216,-73.99392888,479,Subscriber
449,2018-01-11 07:46:25,72,40.76727216,-73.99392888,173,Subscriber
659,2018-01-11 07:55:19,72,40.76727216,-73.99392888,522,Subscriber
1004,2018-01-11 08:17:49,72,40.76727216,-73.99392888,347,Subscriber
560,2018-01-11 08:18:21,72,40.76727216,-73.99392888,525,Subscriber
614,2018-01-11 08:21:06,72,40.76727216,-73.99392888,458,Subscriber
956,2018-01-11 08:27:04,72,40.76727216,-73.99392888,3224,Subscriber
587,2018-01-11 08:52:08,72,40.76727216,-73.99392888,458,Subscriber
522,2018-01-11 08:55:55,72,40.76727216,-73.99392888,523,Subscriber
535,2018-01-12 07:38:43,72,40.76727216,-73.99392888,525,Subscriber
393,2018-01-12 07:50:04,72,40.76727216,-73.99392888,173,Subscriber
413,2018-01-12 08:31:56,72,40.76727216,-73.99392888,173,Subscriber
274,2018-01-13 07:11:20,72,40.76727216,-73.99392888,457,Subscriber
2096,2018-01-13 08:04:33,72,40.76727216,-73.99392888,72,Subscriber
324,2018-01-13 08:11:43,72,40.76727216,-73.99392888,500,Subscriber
670,2018-01-13 08:24:45,72,40.76727216,-73.99392888,3223,Subscriber
310,2018-01-13 08:33:09,72,40.76727216,-73.99392888,449,Subscriber
2578,2018-01-13 08:44:20,72,40.76727216,-73.99392888,3533,Subscriber
326,2018-01-14 07:27:36,72,40.76727216,-73.99392888,478,Subscriber
407,2018-01-14 08:42:21,72,40.76727216,-73.99392888,173,Subscriber
1443,2018-01-15 07:30:25,72,40.76727216,-73.99392888,284,Subscriber
1285,2018-01-15 08:48:12,72,40.76727216,-73.99392888,459,Customer
1077,2018-01-15 08:48:37,72,40.76727216,-73.99392888,459,Customer
1019,2018-01-15 08:49:22,72,40.76727216,-73.99392888,459,Customer
1496,2018-01-16 07:49:23,72,40.76727216,-73.99392888,435,Subscriber
437,2018-01-16 07:51:51,72,40.76727216,-73.99392888,173,Subscriber
607,2018-01-16 08:09:17,72,40.76727216,-73.99392888,525,Subscriber
701,2018-01-16 08:12:11,72,40.76727216,-73.99392888,3643,Subscriber
457,2018-01-16 08:17:44,72,40.76727216,-73.99392888,468,Subscriber
394,2018-01-16 08:24:31,72,40.76727216,-73.99392888,173,Subscriber
839,2018-01-16 08:27:59,72,40.76727216,-73.99392888,440,Subscriber
566,2018-01-16 08:29:02,72,40.76727216,-73.99392888,523,Subscriber
954,2018-01-16 08:33:59,72,40.76727216,-73.99392888,3224,Subscriber
653,2018-01-17 08:14:44,72,40.76727216,-73.99392888,458,Subscriber
406,2018-01-17 08:28:31,72,40.76727216,-73.99392888,173,Subscriber
1307,2018-01-17 08:36:43,72,40.76727216,-73.99392888,459,Subscriber
1225,2018-01-17 08:56:49,72,40.76727216,-73.99392888,347,Subscriber
666,2018-01-17 08:58:52,72,40.76727216,-73.99392888,523,Subscriber
