tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
1388,2017-01-01 07:00:24,397,40.68415748,-73.96922273,3092,Subscriber
231,2017-01-01 07:00:33,284,40.7390169121,-74.0026376103,494,Subscriber
2023,2017-01-01 07:01:05,483,40.73223272,-73.98889957,519,Customer
455,2017-01-01 07:01:08,295,40.71406667,-73.99293911,394,Subscriber
474,2017-01-01 07:01:20,342,40.71739973,-73.98016555,3435,Subscriber
1999,2017-01-01 07:01:30,483,40.73223272,-73.98889957,519,Customer
1138,2017-01-01 07:02:32,343,40.69794,-73.96986848,295,Subscriber
846,2017-01-01 07:03:01,3438,40.772248537721744,-73.95842134952545,153,Customer
789,2017-01-01 07:03:04,450,40.76227205,-73.98788205,540,Subscriber
1264,2017-01-01 07:03:08,267,40.75097711,-73.98765428,267,Customer
1113,2017-01-01 07:03:08,419,40.69580705,-73.97355569,295,Subscriber
680,2017-01-01 07:03:53,302,40.72082834,-73.97793172,296,Subscriber
1136,2017-01-01 07:05:30,509,40.7454973,-74.00197139,317,Subscriber
2185,2017-01-01 07:07:22,3417,40.6795766,-73.97854971,3016,Subscriber
1281,2017-01-01 07:07:54,2010,40.72165481,-74.00234737,167,Subscriber
515,2017-01-01 07:09:04,3427,40.72430527250332,-73.99600982666016,444,Subscriber
284,2017-01-01 07:09:09,3151,40.7728384,-73.94989233,3147,Subscriber
812,2017-01-01 07:09:42,266,40.72368361,-73.97574813,444,Subscriber
413,2017-01-01 07:10:19,244,40.69196035,-73.96536851,354,Subscriber
321,2017-01-01 07:10:24,536,40.74144387,-73.97536082,2003,Subscriber
476,2017-01-01 07:10:25,2021,40.75929124,-73.98859651,3258,Subscriber
1068,2017-01-01 07:10:28,3073,40.70691254,-73.95441667,350,Customer
340,2017-01-01 07:10:52,476,40.74394314,-73.97966069,442,Subscriber
1243,2017-01-01 07:11:15,327,40.7153379,-74.01658354,3255,Subscriber
1047,2017-01-01 07:11:44,2021,40.75929124,-73.98859651,281,Subscriber
