tripduration,starttime,startstationid,startstationlatitude,startstationlongitude,endstationid,usertype
2026,2019-01-01 07:28:25,3132,40.76350532,-73.97109243,3676,Subscriber
756,2019-01-01 07:28:32,3508,40.809725,-73.953149,3350,Subscriber
319,2019-01-01 07:30:28,342,40.71739973,-73.98016555,301,Subscriber
939,2019-01-01 07:30:41,3148,40.77565541,-73.95068615,3137,Subscriber
362,2019-01-01 07:30:45,3141,40.76500525,-73.95818491,3288,Subscriber
502,2019-01-01 07:30:53,285,40.73454567,-73.99074142,536,Subscriber
931,2019-01-01 07:30:58,3674,40.70140317,-73.9867267,401,Subscriber
179,2019-01-01 07:31:08,3124,40.74731,-73.95451,3119,Subscriber
2125,2019-01-01 07:31:12,3148,40.77565541,-73.95068615,3150,Customer
1427,2019-01-01 07:31:53,82,40.71117416,-74.00016545,524,Subscriber
2068,2019-01-01 07:32:22,3294,40.7835016,-73.955327,3294,Subscriber
337,2019-01-01 07:33:13,3058,40.69237074,-73.93705428,409,Subscriber
869,2019-01-01 07:33:08,291,40.713126,-73.984844,427,Subscriber
1471,2019-01-01 07:33:18,334,40.74238787,-73.99726235,450,Subscriber
113,2019-01-01 07:33:38,174,40.7381765,-73.97738662,174,Subscriber
1125,2019-01-01 07:33:43,3124,40.74731,-73.95451,305,Subscriber
1134,2019-01-01 07:34:58,3580,40.6737236,-73.9631611,3081,Subscriber
520,2019-01-01 07:35:06,504,40.73221853,-73.98165557,3687,Subscriber
1153,2019-01-01 07:35:25,270,40.69308257,-73.97178913,3576,Subscriber
358,2019-01-01 07:35:26,3718,40.72746421,-73.97950418,312,Subscriber
436,2019-01-01 07:35:30,358,40.73291553,-74.00711384,327,Subscriber
661,2019-01-01 07:36:13,480,40.76669671,-73.99061728,3255,Subscriber
788,2019-01-01 07:36:38,326,40.72953837,-73.98426726,524,Subscriber
474,2019-01-01 07:36:42,3496,40.7923272,-73.9383,3305,Subscriber
2007,2019-01-01 07:36:46,3119,40.74232744,-73.95411749,3124,Customer
150,2019-01-01 07:37:19,458,40.751396,-74.005226,3259,Subscriber
904,2019-01-01 07:37:22,237,40.73047309,-73.98672378,302,Subscriber
402,2019-01-01 07:37:31,350,40.71559509,-73.9870295,296,Subscriber
574,2019-01-01 07:37:27,490,40.751551,-73.993934,334,Subscriber
283,2019-01-01 07:37:53,499,40.76915505,-73.98191841,3164,Subscriber
188,2019-01-01 07:38:05,3077,40.70877084,-73.95095259,3087,Subscriber
1123,2019-01-01 07:38:21,3301,40.7919557,-73.968087,3141,Subscriber
2210,2019-01-01 07:38:20,3349,40.6729679,-73.97087984,3349,Customer
207,2019-01-01 07:38:39,495,40.76269882,-73.99301222,529,Subscriber
553,2019-01-01 07:39:27,3329,40.6829151,-73.99318208,3409,Subscriber
326,2019-01-01 07:39:31,3151,40.7728384,-73.94989233,3362,Subscriber
384,2019-01-01 07:40:04,3307,40.7941654,-73.974124,3383,Subscriber
458,2019-01-01 07:40:28,317,40.72453734,-73.98185424,411,Subscriber
655,2019-01-01 07:40:26,3110,40.72708584,-73.95299117,3119,Subscriber
1394,2019-01-01 07:40:48,3363,40.7904828,-73.95033068,519,Subscriber
2056,2019-01-01 07:40:55,3349,40.6729679,-73.97087984,3349,Customer
1021,2019-01-01 07:41:14,410,40.72066442,-73.98517977,383,Subscriber
176,2019-01-01 07:41:17,3165,40.77579377,-73.97620574,3164,Subscriber
1022,2019-01-01 07:41:25,359,40.75510267,-73.97498696,394,Subscriber
319,2019-01-01 07:42:08,392,40.695065,-73.987167,324,Subscriber
2681,2019-01-01 07:42:10,3541,40.813358,-73.956461,3295,Subscriber
430,2019-01-01 07:42:42,3711,40.72966729,-73.98067966,536,Subscriber
251,2019-01-01 07:42:59,445,40.72740794,-73.98142006,302,Subscriber
279,2019-01-01 07:43:11,3242,40.69102926,-73.99183363,3321,Subscriber
264,2019-01-01 07:43:12,3389,40.6830456,-74.00348559,398,Subscriber
451,2019-01-01 07:43:22,394,40.72521311,-73.97768752,254,Subscriber
134,2019-01-01 07:43:25,390,40.69221589,-73.9842844,3440,Subscriber
704,2019-01-01 07:43:39,448,40.75660359,-73.9979009,3457,Subscriber
947,2019-01-01 07:44:13,478,40.76030096,-73.99884222,2006,Subscriber
506,2019-01-01 07:44:31,504,40.73221853,-73.98165557,3687,Subscriber
1261,2019-01-01 07:44:34,3101,40.72079821,-73.95484712,3002,Subscriber
356,2019-01-01 07:44:36,491,40.74096374,-73.98602213,2012,Subscriber
850,2019-01-01 07:45:01,3107,40.72311651,-73.95212324,401,Subscriber
410,2019-01-01 07:45:23,363,40.70834698,-74.01713445,146,Subscriber
948,2019-01-01 07:45:25,3543,40.81028506,-73.95736456,3168,Subscriber
283,2019-01-01 07:45:33,3522,40.7701477,-73.9120938,3602,Subscriber
389,2019-01-01 07:46:00,520,40.75992262,-73.97648516,281,Subscriber
499,2019-01-01 07:46:14,3497,40.7949879,-73.9333349,3323,Subscriber
201,2019-01-01 07:46:11,491,40.74096374,-73.98602213,402,Subscriber
152,2019-01-01 07:46:38,301,40.72217444,-73.98368779,432,Subscriber
144,2019-01-01 07:46:53,528,40.74290902,-73.97706058,2012,Subscriber
367,2019-01-01 07:46:53,467,40.68312489,-73.97895137,3410,Subscriber
672,2019-01-01 07:47:37,3042,40.6794268,-73.9298911,344,Subscriber
242,2019-01-01 07:48:12,490,40.751551,-73.993934,448,Subscriber
